ticker,code,eps_growth,vol_ratio_1w,close,open|1W,high|1W,low|1W,volume|1W,market_cap_basic,sector,industry
NASDAQ:SBLK,SBLK,13323.076923076922,1.033898232035327,27.15,27.31,27.345,26.21,5829285,3090958024.0,Transportation,Marine Shipping
NASDAQ:ANDE,ANDE,11606.024096385541,1.2087649020783955,71.85,73.16,75.0,70.0,1804631,2446783777.2961493,Commercial Services,Miscellaneous Commercial Services
NASDAQ:TRS,TRS,6959.58429561201,0.9740806090465923,41.32,39.4,41.65,39.22,2246669,1480399856.8659189,Process Industries,Containers/Packaging
NYSE:TEL,TEL,6593.533487297921,1.131063197857902,210.38,213.03,216.62,200.42,14451687,61409042760.67064,Electronic Technology,Semiconductors
NYSE:PLOW,PLOW,4308.333333333334,0.7649116717028528,47.19,44.86,47.55,44.78,834699,1091277782.7365947,Producer Manufacturing,Trucks/Construction/Farm Machinery
NASDAQ:SENEA,SENEA,4153.218390804598,2.00991632040113,175.37,146.37,176.09,141.65,1239030,1186578926.8677702,Consumer Non-Durables,Food: Specialty/Candy
NYSE:TSN,TSN,3638.3084577114423,1.382705910541159,57.43,58.13,58.59,55.505,19501590,19820729327.681168,Consumer Non-Durables,Food: Meat/Fish/Dairy
NYSE:AFL,AFL,3634.905660377359,1.182254855670287,117.8,117.32,118.39,114.42,13094459,59958418918.626015,Finance,Multi-Line Insurance
NASDAQ:AFRM,AFRM,3549.382716049383,0.7620207419299878,66.17,64.01,68.7,61.18,18836605,22160238499.009476,Technology Services,Packaged Software
NASDAQ:FIVN,FIVN,3234.375,0.7777501119448297,21.23,23.3,23.6128,20.0856,12377532,1625453453.9879985,Technology Services,Packaged Software
NYSE:CALY,CALY,3210.5263157894733,0.9859223661565489,17.38,14.9,17.39,14.69,13019101,3124186708.103633,Consumer Durables,Recreational Products
NYSE:FIS,FIS,3056.137931034483,1.1043036467169989,39.2,40.62,40.78,37.91,35463135,20261661889.35593,Technology Services,Packaged Software
NYSE:SPB,SPB,2707.267441860465,1.0507504098453233,83.3,81.91,85.225,80.94,1749006,1932085206.8925204,Consumer Durables,Electronics/Appliances
NASDAQ:NBIX,NBIX,2382.360570687419,0.8148651074086891,159.76,163.88,169.3899,159.44,4820660,16063866712.768974,Health Technology,Biotechnology
NYSE:CIEN,CIEN,2309.3699515347334,1.92779707690437,445.98,489.775,493.09,417.34,23034555,63129770310.579346,Electronic Technology,Telecommunications Equipment
NYSE:AKR,AKR,1956.190476190476,2.5876328594918503,22.09,22.48,22.9,21.35,13384030,2949393433.7742376,Finance,Real Estate Investment Trusts
NYSE:GEV,GEV,1816.1687170474518,1.5216637099381682,940.66,947.91,952.79,856.01,18036227,252774150222.78732,Producer Manufacturing,Electrical Products
NASDAQ:TTEK,TTEK,1669.3069306930695,1.1114953464080588,28.43,27.75,28.69,26.94,17550615,7378286920.611389,Industrial Services,Engineering & Construction
NYSE:FRO,FRO,1579.9331103678928,1.0805203162475572,39.07,35.73,39.09,34.66,15641176,8697876730.358469,Transportation,Marine Shipping
NASDAQ:FWONA,FWONA,1427.2727272727273,0.8167639698273675,81.99,81.88,84.085,79.84,553781,22122581742.8114,Technology Services,Internet Software/Services
NYSE:EQH,EQH,1261.4258434118397,1.0403674708215664,44.02,40.8,44.37,40.66,22595620,12392483221.86425,Finance,Life/Health Insurance
NYSE:AMTM,AMTM,1235.757575757576,0.8788626767935979,22.86,22.68,23.15,21.74,8451499,5585070934.809783,Electronic Technology,Aerospace & Defense
